ros_time_sec,ros_time_nsec,O_T_EE_0,O_T_EE_1,O_T_EE_2,O_T_EE_3,O_T_EE_4,O_T_EE_5,O_T_EE_6,O_T_EE_7,O_T_EE_8,O_T_EE_9,O_T_EE_10,O_T_EE_11,O_T_EE_12,O_T_EE_13,O_T_EE_14,O_T_EE_15
1774903392.000000000,854357242.000000000,0.994548837,-0.094373921,0.044123917,0.000000000,-0.094365257,-0.995525353,-0.002283912,0.000000000,0.044142869,-0.001892339,-0.999023436,0.000000000,0.474044799,-0.011069343,0.188594649,1.000000000
1774903392.000000000,888443231.000000000,0.994693295,-0.093100971,0.043568403,0.000000000,-0.093058051,-0.995646446,-0.003016669,0.000000000,0.043660421,-0.001053750,-0.999045873,0.000000000,0.477733181,-0.012685393,0.185989341,1.000000000
1774903392.000000000,922098159.000000000,0.994719517,-0.092387343,0.044479307,0.000000000,-0.092300098,-0.995713470,-0.004015650,0.000000000,0.044660500,-0.000111001,-0.999002216,0.000000000,0.481814073,-0.014381667,0.183721511,1.000000000
1774903392.000000000,958080768.000000000,0.994819765,-0.091428086,0.044218622,0.000000000,-0.091304014,-0.995801725,-0.004821692,0.000000000,0.044474675,0.000759392,-0.999010223,0.000000000,0.485410152,-0.015980957,0.181065979,1.000000000
1774903392.000000000,991318941.000000000,0.994905981,-0.090278235,0.044639398,0.000000000,-0.090118390,-0.995905737,-0.005584468,0.000000000,0.044961655,0.001533219,-0.998987537,0.000000000,0.489908761,-0.017933102,0.178236472,1.000000000
1774903393.000000000,25244712.000000000,0.994982624,-0.089109382,0.045275192,0.000000000,-0.088918540,-0.996009842,-0.006215741,0.000000000,0.045649297,0.002158791,-0.998955195,0.000000000,0.494154343,-0.019684241,0.175724101,1.000000000
1774903393.000000000,59890031.000000000,0.995093648,-0.087782532,0.045426930,0.000000000,-0.087565285,-0.996126221,-0.006754224,0.000000000,0.045844741,0.002743316,-0.998944810,0.000000000,0.498451114,-0.021448360,0.172970790,1.000000000
1774903393.000000000,93940734.000000000,0.995195187,-0.086765479,0.045155711,0.000000000,-0.086524730,-0.996213567,-0.007262707,0.000000000,0.045615762,0.003320790,-0.998953540,0.000000000,0.502635251,-0.023297324,0.170197872,1.000000000
1774903393.000000000,127664089.000000000,0.995202286,-0.086259834,0.045960822,0.000000000,-0.085978803,-0.996254697,-0.008060415,0.000000000,0.046484870,0.004070165,-0.998910702,0.000000000,0.507090324,-0.025134890,0.167737388,1.000000000
1774903393.000000000,161791324.000000000,0.995279175,-0.085657911,0.045418419,0.000000000,-0.085346054,-0.996303152,-0.008765096,0.000000000,0.046002199,0.004847528,-0.998929577,0.000000000,0.511187948,-0.026950733,0.164816910,1.000000000
1774903393.000000000,195984840.000000000,0.995305403,-0.085256988,0.045597675,0.000000000,-0.084917239,-0.996334566,-0.009340325,0.000000000,0.046227758,0.005424552,-0.998916197,0.000000000,0.515434951,-0.028799276,0.162223089,1.000000000
1774903393.000000000,229559898.000000000,0.995337007,-0.084783434,0.045790387,0.000000000,-0.084423027,-0.996372624,-0.009751590,0.000000000,0.046451955,0.005840467,-0.998903451,0.000000000,0.519484256,-0.030674255,0.159543584,1.000000000
1774903393.000000000,263312816.000000000,0.995421601,-0.084056688,0.045288589,0.000000000,-0.083687163,-0.996432260,-0.009997796,0.000000000,0.045968277,0.006162067,-0.998923894,0.000000000,0.523337851,-0.032458306,0.156651959,1.000000000
1774903393.000000000,298150539.000000000,0.995489582,-0.082924432,0.045877864,0.000000000,-0.082568937,-0.996529519,-0.009593459,0.000000000,0.046515074,0.005762213,-0.998900968,0.000000000,0.527337867,-0.034220744,0.154110341,1.000000000
1774903393.000000000,331736326.000000000,0.995528673,-0.082316343,0.046124047,0.000000000,-0.081947715,-0.996578492,-0.009829960,0.000000000,0.046776300,0.006006363,-0.998887332,0.000000000,0.531219718,-0.035781240,0.151250052,1.000000000
1774903393.000000000,365720748.000000000,0.995534529,-0.082134371,0.046321635,0.000000000,-0.081737696,-0.996589988,-0.010396728,0.000000000,0.047018512,0.006564204,-0.998872450,0.000000000,0.535004181,-0.037386227,0.148463521,1.000000000
1774903393.000000000,399558544.000000000,0.995568778,-0.081895755,0.046006964,0.000000000,-0.081480029,-0.996606332,-0.010843021,0.000000000,0.046739729,0.007046460,-0.998882248,0.000000000,0.538546051,-0.039016378,0.145573052,1.000000000
1774903393.000000000,433343648.000000000,0.995622476,-0.081782218,0.045036654,0.000000000,-0.081347809,-0.996610936,-0.011398384,0.000000000,0.045817089,0.007685002,-0.998920285,0.000000000,0.541762433,-0.040621250,0.142277773,1.000000000
1774903393.000000000,467448949.000000000,0.995636974,-0.081420895,0.045369593,0.000000000,-0.080970996,-0.996638474,-0.011670352,0.000000000,0.046168181,0.007945966,-0.998902078,0.000000000,0.545130403,-0.042233805,0.139320240,1.000000000
1774903393.000000000,501399278.000000000,0.995706684,-0.081144048,0.044323688,0.000000000,-0.080681860,-0.996656535,-0.012121708,0.000000000,0.045159968,0.008493711,-0.998943659,0.000000000,0.547986666,-0.043757983,0.135654507,1.000000000
1774903393.000000000,535638093.000000000,0.995764813,-0.080373735,0.044421242,0.000000000,-0.079908973,-0.996718530,-0.012143904,0.000000000,0.045252397,0.008542981,-0.998939056,0.000000000,0.551019563,-0.045271316,0.132317700,1.000000000
1774903393.000000000,569774150.000000000,0.995861595,-0.079683599,0.043485101,0.000000000,-0.079225286,-0.996772841,-0.012165731,0.000000000,0.044315030,0.008670431,-0.998979981,0.000000000,0.553602944,-0.046655976,0.128390895,1.000000000
1774903393.000000000,603469848.000000000,0.995928339,-0.078950512,0.043293262,0.000000000,-0.078485179,-0.996829156,-0.012347388,0.000000000,0.044131668,0.008899406,-0.998986084,0.000000000,0.556330805,-0.047920302,0.124646273,1.000000000
1774903393.000000000,637750625.000000000,0.995972234,-0.078360518,0.043355327,0.000000000,-0.077869274,-0.996870352,-0.012908293,0.000000000,0.044231992,0.009480436,-0.998976302,0.000000000,0.558933082,-0.048998204,0.120809079,1.000000000
1774903393.000000000,671787500.000000000,0.996008430,-0.078295140,0.042635971,0.000000000,-0.077762379,-0.996863732,-0.014016366,0.000000000,0.043600506,0.010645149,-0.998992331,0.000000000,0.561202510,-0.049907050,0.116654829,1.000000000
1774903393.000000000,706158399.000000000,0.996061927,-0.077520064,0.042802152,0.000000000,-0.076960147,-0.996917900,-0.014580268,0.000000000,0.043801339,0.011229007,-0.998977153,0.000000000,0.563584480,-0.050786643,0.112884540,1.000000000
1774903393.000000000,739671707.000000000,0.996141670,-0.077001017,0.041873177,0.000000000,-0.076413473,-0.996946731,-0.015457818,0.000000000,0.042936421,0.012198737,-0.999003331,0.000000000,0.565523703,-0.051474387,0.108592886,1.000000000
